CNTR_NAME;0-14_2024;15-64_2024;over65_2024;TotalPop_2024
Belgium;16,3;63,7;19,9;11817096
Bulgaria;14,1;62,2;23,8;6445481
Czechia;15,9;63,6;20,5;10900555
Denmark;15,7;63,6;20,7;5961249
Germany;13,9;63,6;22,4;83456045
Estonia;16;63,5;20,5;1374687
Ireland;18,9;65,6;15,5;5351681
Greece;13,1;63,6;23,3;10400720
Spain;13,2;66,3;20,4;48619695
France;17;61,6;21,4;68467362
Croatia;14;62,9;23;3861967
Italy;12,2;63,5;24,3;58971230
Cyprus;15,3;67;17,7;966365
Latvia;15,6;63;21,3;1871882
Lithuania;14,5;65,1;20,3;2885891
Luxembourg;15,7;69,2;15;672050
Hungary;14,5;64,8;20,7;9584627
Malta;12,3;69,3;18,4;563443
Netherlands;15,1;64,4;20,5;17942942
Austria;14,4;65,8;19,8;9158750
Poland;15,1;64,4;20,5;36620970
Portugal;12,8;63,1;24,1;10639726
Romania;15,9;64;20;19067576
Slovenia;14,7;63,5;21,8;2123949
Slovakia;16;65,7;18,4;5424687
Finland;14,9;61,8;23,4;5603851
Sweden;17,1;62,3;20,6;10551707
Iceland;18,3;66,2;15,6;383567
Liechtenstein;14,4;65,3;20,3;40015
Norway;16,4;64,9;18,7;5550217
Switzerland;15;65,7;19,3;8962258
Montenegro;18,2;65;16,7;623680
Moldova;17,5;65,2;17,4;2423287
Serbia;14,4;63,1;22,4;6605168
Türkiye;21,4;68,3;10,2;85372377
